CpdClass1	CpdClass2	BioSim
QN-C-R	QN-C-R	0.665
QN-C-R	QN-C-R	0.805
QN-C-R	QN-C-R	0.675
QN-C-R	QN-C-R	0.849
QN-C-R	QN-C-R	0.836
QN-C-R	QN-C-R	0.768
QN-C-R	QN-C-R	0.735
QN-C-R	QN-C-R	0.82
QN-C-R	QN-C-R	0.762
QN-C-R	QN-C-R	0.763
QN-C-R	QN-C-R	0.809
QN-C-R	QN-C-R	0.782
QN-C-R	QN-C-R	0.818
QN-C-R	QN-C-R	0.702
QN-C-R	QN-C-R	0.665
QN-C-R	QN-C-R	0.804
QN-C-R	QN-C-R	0.957
QN-C-R	QN-C-R	0.747
QN-C-R	QN-C-R	0.657
QN-C-R	QN-C-R	0.955
QN-C-R	QN-C-R	0.682
QN-C-R	QN-C-R	0.914
QN-C-R	QN-C-R	0.924
QN-C-R	QN-C-R	0.918
QN-C-R	QN-C-R	0.913
QN-C-R	QN-C-R	0.377
QN-C-R	QN-C-R	0.778
QN-C-R	QN-C-R	0.361
QN-C-R	QN-C-R	0.805
QN-C-R	QN-C-R	0.804
QN-C-R	QN-C-R	0.775
QN-C-R	QN-C-R	0.821
QN-C-R	QN-C-R	0.875
QN-C-R	QN-C-R	0.823
QN-C-R	QN-C-R	0.852
QN-C-R	QN-C-R	0.834
QN-C-R	QN-C-R	0.827
QN-C-R	QN-C-R	0.801
QN-C-R	QN-C-R	0.85
QN-C-R	QN-C-R	0.64
QN-C-R	QN-C-R	0.811
QN-C-R	QN-C-R	0.622
QN-C-R	QN-C-R	0.675
QN-C-R	QN-C-R	0.957
QN-C-R	QN-C-R	0.775
QN-C-R	QN-C-R	0.77
QN-C-R	QN-C-R	0.622
QN-C-R	QN-C-R	0.93
QN-C-R	QN-C-R	0.678
QN-C-R	QN-C-R	0.916
QN-C-R	QN-C-R	0.942
QN-C-R	QN-C-R	0.927
QN-C-R	QN-C-R	0.909
QN-C-R	QN-C-R	0.383
QN-C-R	QN-C-R	0.801
QN-C-R	QN-C-R	0.358
QN-C-R	QN-C-R	0.849
QN-C-R	QN-C-R	0.747
QN-C-R	QN-C-R	0.821
QN-C-R	QN-C-R	0.77
QN-C-R	QN-C-R	0.815
QN-C-R	QN-C-R	0.813
QN-C-R	QN-C-R	0.726
QN-C-R	QN-C-R	0.831
QN-C-R	QN-C-R	0.796
QN-C-R	QN-C-R	0.797
QN-C-R	QN-C-R	0.789
QN-C-R	QN-C-R	0.611
QN-C-R	QN-C-R	0.843
QN-C-R	QN-C-R	0.498
QN-C-R	QN-C-R	0.836
QN-C-R	QN-C-R	0.657
QN-C-R	QN-C-R	0.875
QN-C-R	QN-C-R	0.622
QN-C-R	QN-C-R	0.815
QN-C-R	QN-C-R	0.712
QN-C-R	QN-C-R	0.863
QN-C-R	QN-C-R	0.769
QN-C-R	QN-C-R	0.736
QN-C-R	QN-C-R	0.734
QN-C-R	QN-C-R	0.773
QN-C-R	QN-C-R	0.753
QN-C-R	QN-C-R	0.765
QN-C-R	QN-C-R	0.682
QN-C-R	QN-C-R	0.768
QN-C-R	QN-C-R	0.955
QN-C-R	QN-C-R	0.823
QN-C-R	QN-C-R	0.93
QN-C-R	QN-C-R	0.813
QN-C-R	QN-C-R	0.712
QN-C-R	QN-C-R	0.677
QN-C-R	QN-C-R	0.942
QN-C-R	QN-C-R	0.924
QN-C-R	QN-C-R	0.935
QN-C-R	QN-C-R	0.935
QN-C-R	QN-C-R	0.461
QN-C-R	QN-C-R	0.841
QN-C-R	QN-C-R	0.409
QN-C-R	QN-C-R	0.735
QN-C-R	QN-C-R	0.682
QN-C-R	QN-C-R	0.852
QN-C-R	QN-C-R	0.678
QN-C-R	QN-C-R	0.726
QN-C-R	QN-C-R	0.863
QN-C-R	QN-C-R	0.677
QN-C-R	QN-C-R	0.759
QN-C-R	QN-C-R	0.752
QN-C-R	QN-C-R	0.695
QN-C-R	QN-C-R	0.753
QN-C-R	QN-C-R	0.723
QN-C-R	QN-C-R	0.767
QN-C-R	QN-C-R	0.742
QN-C-R	QN-C-R	0.82
QN-C-R	QN-C-R	0.914
QN-C-R	QN-C-R	0.834
QN-C-R	QN-C-R	0.916
QN-C-R	QN-C-R	0.831
QN-C-R	QN-C-R	0.769
QN-C-R	QN-C-R	0.942
QN-C-R	QN-C-R	0.759
QN-C-R	QN-C-R	0.954
QN-C-R	QN-C-R	0.947
QN-C-R	QN-C-R	0.953
QN-C-R	QN-C-R	0.577
QN-C-R	QN-C-R	0.851
QN-C-R	QN-C-R	0.525
QN-C-R	QN-C-R	0.762
QN-C-R	QN-C-R	0.924
QN-C-R	QN-C-R	0.827
QN-C-R	QN-C-R	0.942
QN-C-R	QN-C-R	0.796
QN-C-R	QN-C-R	0.736
QN-C-R	QN-C-R	0.924
QN-C-R	QN-C-R	0.752
QN-C-R	QN-C-R	0.954
QN-C-R	QN-C-R	0.954
QN-C-R	QN-C-R	0.948
QN-C-R	QN-C-R	0.537
QN-C-R	QN-C-R	0.822
QN-C-R	QN-C-R	0.489
QN-C-R	QN-C-R	0.763
QN-C-R	QN-C-R	0.918
QN-C-R	QN-C-R	0.801
QN-C-R	QN-C-R	0.927
QN-C-R	QN-C-R	0.797
QN-C-R	QN-C-R	0.734
QN-C-R	QN-C-R	0.935
QN-C-R	QN-C-R	0.695
QN-C-R	QN-C-R	0.947
QN-C-R	QN-C-R	0.954
QN-C-R	QN-C-R	0.945
QN-C-R	QN-C-R	0.491
QN-C-R	QN-C-R	0.786
QN-C-R	QN-C-R	0.437
QN-C-R	QN-C-R	0.809
QN-C-R	QN-C-R	0.913
QN-C-R	QN-C-R	0.85
QN-C-R	QN-C-R	0.909
QN-C-R	QN-C-R	0.789
QN-C-R	QN-C-R	0.773
QN-C-R	QN-C-R	0.935
QN-C-R	QN-C-R	0.753
QN-C-R	QN-C-R	0.953
QN-C-R	QN-C-R	0.948
QN-C-R	QN-C-R	0.945
QN-C-R	QN-C-R	0.579
QN-C-R	QN-C-R	0.834
QN-C-R	QN-C-R	0.531
QN-C-R	QN-C-R	0.782
QN-C-R	QN-C-R	0.377
QN-C-R	QN-C-R	0.64
QN-C-R	QN-C-R	0.383
QN-C-R	QN-C-R	0.611
QN-C-R	QN-C-R	0.753
QN-C-R	QN-C-R	0.461
QN-C-R	QN-C-R	0.723
QN-C-R	QN-C-R	0.577
QN-C-R	QN-C-R	0.537
QN-C-R	QN-C-R	0.491
QN-C-R	QN-C-R	0.579
QN-C-R	QN-C-R	0.663
QN-C-R	QN-C-R	0.845
QN-C-R	QN-C-R	0.818
QN-C-R	QN-C-R	0.778
QN-C-R	QN-C-R	0.811
QN-C-R	QN-C-R	0.801
QN-C-R	QN-C-R	0.843
QN-C-R	QN-C-R	0.765
QN-C-R	QN-C-R	0.841
QN-C-R	QN-C-R	0.767
QN-C-R	QN-C-R	0.851
QN-C-R	QN-C-R	0.822
QN-C-R	QN-C-R	0.786
QN-C-R	QN-C-R	0.834
QN-C-R	QN-C-R	0.663
QN-C-R	QN-C-R	0.596
QN-C-R	QN-C-R	0.702
QN-C-R	QN-C-R	0.361
QN-C-R	QN-C-R	0.622
QN-C-R	QN-C-R	0.358
QN-C-R	QN-C-R	0.498
QN-C-R	QN-C-R	0.682
QN-C-R	QN-C-R	0.409
QN-C-R	QN-C-R	0.742
QN-C-R	QN-C-R	0.525
QN-C-R	QN-C-R	0.489
QN-C-R	QN-C-R	0.437
QN-C-R	QN-C-R	0.531
QN-C-R	QN-C-R	0.845
QN-C-R	QN-C-R	0.596
QN-C-R	QN-C-S	0.866
QN-C-R	QN-C-S	0.833
QN-C-R	QN-C-S	0.891
QN-C-R	QN-C-S	0.907
QN-C-R	QN-C-S	0.894
QN-C-R	QN-C-S	0.695
QN-C-R	QN-C-S	0.753
QN-C-R	QN-C-S	0.668
QN-C-R	QN-C-S	0.792
QN-C-R	QN-C-S	0.491
QN-C-R	QN-C-S	0.457
QN-C-R	QN-C-S	0.303
QN-C-R	QN-C-S	0.895
QN-C-R	QN-C-S	0.883
QN-C-R	QN-C-S	0.872
QN-C-R	QN-C-S	0.683
QN-C-R	QN-C-S	0.675
QN-C-R	QN-C-S	0.582
QN-C-R	QN-C-S	0.751
QN-C-R	QN-C-S	0.623
QN-C-R	QN-C-S	0.783
QN-C-R	QN-C-S	0.5
QN-C-R	QN-C-S	0.451
QN-C-R	QN-C-S	0.279
QN-C-R	QN-C-S	0.872
QN-C-R	QN-C-S	0.774
QN-C-R	QN-C-S	0.847
QN-C-R	QN-C-S	0.742
QN-C-R	QN-C-S	0.667
QN-C-R	QN-C-S	0.699
QN-C-R	QN-C-S	0.812
QN-C-R	QN-C-S	0.936
QN-C-R	QN-C-S	0.855
QN-C-R	QN-C-S	0.749
QN-C-R	QN-C-S	0.776
QN-C-R	QN-C-S	0.675
QN-C-R	QN-C-S	0.826
QN-C-R	QN-C-S	0.716
QN-C-R	QN-C-S	0.828
QN-C-R	QN-C-S	0.625
QN-C-R	QN-C-S	0.578
QN-C-R	QN-C-S	0.451
QN-C-R	QN-C-S	0.745
QN-C-R	QN-C-S	0.861
QN-C-R	QN-C-S	0.825
QN-C-R	QN-C-S	0.617
QN-C-R	QN-C-S	0.641
QN-C-R	QN-C-S	0.508
QN-C-R	QN-C-S	0.818
QN-C-R	QN-C-S	0.77
QN-C-R	QN-C-S	0.868
QN-C-R	QN-C-S	0.658
QN-C-R	QN-C-S	0.647
QN-C-R	QN-C-S	0.439
QN-C-R	QN-C-S	0.787
QN-C-R	QN-C-S	0.738
QN-C-R	QN-C-S	0.842
QN-C-R	QN-C-S	0.597
QN-C-R	QN-C-S	0.6
QN-C-R	QN-C-S	0.357
QN-C-R	QN-C-S	0.787
QN-C-R	QN-C-S	0.712
QN-C-R	QN-C-S	0.809
QN-C-R	QN-C-S	0.608
QN-C-R	QN-C-S	0.606
QN-C-R	QN-C-S	0.378
QN-C-R	QN-C-S	0.794
QN-C-R	QN-C-S	0.785
QN-C-R	QN-C-S	0.855
QN-C-R	QN-C-S	0.647
QN-C-R	QN-C-S	0.676
QN-C-R	QN-C-S	0.418
QN-C-R	QN-C-S	0.629
QN-C-R	QN-C-S	0.783
QN-C-R	QN-C-S	0.687
QN-C-R	QN-C-S	0.697
QN-C-R	QN-C-S	0.828
QN-C-R	QN-C-S	0.577
QN-C-R	QN-C-S	0.806
QN-C-R	QN-C-S	0.797
QN-C-R	QN-C-S	0.863
QN-C-R	QN-C-S	0.651
QN-C-R	QN-C-S	0.654
QN-C-R	QN-C-S	0.537
QN-C-R	QN-C-S	0.557
QN-C-R	QN-C-S	0.742
QN-C-R	QN-C-S	0.631
QN-C-R	QN-C-S	0.643
QN-C-R	QN-C-S	0.76
QN-C-R	QN-C-S	0.517
QN-C-R	QN-I	0.806
QN-C-R	QN-I	0.81
QN-C-R	QN-I	0.625
QN-C-R	QN-I	0.849
QN-C-R	QN-I	0.789
QN-C-R	QN-I	0.8
QN-C-R	QN-I	0.64
QN-C-R	QN-I	0.51
QN-C-R	QN-I	0.49
QN-C-R	QN-I	0.723
QN-C-R	QN-I	0.389
QN-C-R	QN-I	0.449
QN-C-R	QN-I	0.771
QN-C-R	QN-I	0.78
QN-C-R	QN-I	0.569
QN-C-R	QN-I	0.847
QN-C-R	QN-I	0.654
QN-C-R	QN-I	0.649
QN-C-R	QN-I	0.635
QN-C-R	QN-I	0.537
QN-C-R	QN-I	0.505
QN-C-R	QN-I	0.693
QN-C-R	QN-I	0.401
QN-C-R	QN-I	0.434
QN-C-R	QN-I	0.79
QN-C-R	QN-I	0.731
QN-C-R	QN-I	0.639
QN-C-R	QN-I	0.778
QN-C-R	QN-I	0.653
QN-C-R	QN-I	0.576
QN-C-R	QN-I	0.746
QN-C-R	QN-I	0.761
QN-C-R	QN-I	0.592
QN-C-R	QN-I	0.853
QN-C-R	QN-I	0.715
QN-C-R	QN-I	0.735
QN-C-R	QN-I	0.746
QN-C-R	QN-I	0.607
QN-C-R	QN-I	0.526
QN-C-R	QN-I	0.787
QN-C-R	QN-I	0.495
QN-C-R	QN-I	0.495
QN-C-R	QN-I	0.658
QN-C-R	QN-I	0.728
QN-C-R	QN-I	0.599
QN-C-R	QN-I	0.736
QN-C-R	QN-I	0.663
QN-C-R	QN-I	0.698
QN-C-R	QN-I	0.735
QN-C-R	QN-I	0.682
QN-C-R	QN-I	0.615
QN-C-R	QN-I	0.812
QN-C-R	QN-I	0.59
QN-C-R	QN-I	0.643
QN-C-R	QN-I	0.682
QN-C-R	QN-I	0.649
QN-C-R	QN-I	0.573
QN-C-R	QN-I	0.782
QN-C-R	QN-I	0.536
QN-C-R	QN-I	0.604
QN-C-R	QN-I	0.687
QN-C-R	QN-I	0.603
QN-C-R	QN-I	0.55
QN-C-R	QN-I	0.813
QN-C-R	QN-I	0.487
QN-C-R	QN-I	0.564
QN-C-R	QN-I	0.685
QN-C-R	QN-I	0.69
QN-C-R	QN-I	0.503
QN-C-R	QN-I	0.828
QN-C-R	QN-I	0.593
QN-C-R	QN-I	0.617
QN-C-R	QN-I	0.591
QN-C-R	QN-I	0.779
QN-C-R	QN-I	0.553
QN-C-R	QN-I	0.696
QN-C-R	QN-I	0.814
QN-C-R	QN-I	0.837
QN-C-R	QN-I	0.759
QN-C-R	QN-I	0.745
QN-C-R	QN-I	0.568
QN-C-R	QN-I	0.767
QN-C-R	QN-I	0.693
QN-C-R	QN-I	0.597
QN-C-R	QN-I	0.529
QN-C-R	QN-I	0.754
QN-C-R	QN-I	0.466
QN-C-R	QN-I	0.616
QN-C-R	QN-I	0.768
QN-C-R	QN-I	0.784
QN-C-S	QN-C-S	0.803
QN-C-S	QN-C-S	0.837
QN-C-S	QN-C-S	0.82
QN-C-S	QN-C-S	0.717
QN-C-S	QN-C-S	0.696
QN-C-S	QN-C-S	0.803
QN-C-S	QN-C-S	0.852
QN-C-S	QN-C-S	0.75
QN-C-S	QN-C-S	0.801
QN-C-S	QN-C-S	0.677
QN-C-S	QN-C-S	0.837
QN-C-S	QN-C-S	0.852
QN-C-S	QN-C-S	0.746
QN-C-S	QN-C-S	0.723
QN-C-S	QN-C-S	0.557
QN-C-S	QN-C-S	0.82
QN-C-S	QN-C-S	0.75
QN-C-S	QN-C-S	0.746
QN-C-S	QN-C-S	0.876
QN-C-S	QN-C-S	0.804
QN-C-S	QN-C-S	0.717
QN-C-S	QN-C-S	0.801
QN-C-S	QN-C-S	0.723
QN-C-S	QN-C-S	0.876
QN-C-S	QN-C-S	0.703
QN-C-S	QN-C-S	0.696
QN-C-S	QN-C-S	0.677
QN-C-S	QN-C-S	0.557
QN-C-S	QN-C-S	0.804
QN-C-S	QN-C-S	0.703
QN-C-S	QN-I	0.868
QN-C-S	QN-I	0.774
QN-C-S	QN-I	0.632
QN-C-S	QN-I	0.829
QN-C-S	QN-I	0.637
QN-C-S	QN-I	0.617
QN-C-S	QN-I	0.748
QN-C-S	QN-I	0.824
QN-C-S	QN-I	0.592
QN-C-S	QN-I	0.835
QN-C-S	QN-I	0.759
QN-C-S	QN-I	0.771
QN-C-S	QN-I	0.753
QN-C-S	QN-I	0.713
QN-C-S	QN-I	0.625
QN-C-S	QN-I	0.84
QN-C-S	QN-I	0.692
QN-C-S	QN-I	0.724
QN-C-S	QN-I	0.782
QN-C-S	QN-I	0.766
QN-C-S	QN-I	0.536
QN-C-S	QN-I	0.73
QN-C-S	QN-I	0.721
QN-C-S	QN-I	0.714
QN-C-S	QN-I	0.706
QN-C-S	QN-I	0.8
QN-C-S	QN-I	0.5
QN-C-S	QN-I	0.799
QN-C-S	QN-I	0.81
QN-C-S	QN-I	0.852
QN-C-S	QN-I	0.729
QN-C-S	QN-I	0.695
QN-C-S	QN-I	0.466
QN-C-S	QN-I	0.577
QN-C-S	QN-I	0.645
QN-C-S	QN-I	0.5
QN-I	QN-I	0.74
QN-I	QN-I	0.567
QN-I	QN-I	0.772
QN-I	QN-I	0.708
QN-I	QN-I	0.594
QN-I	QN-I	0.74
QN-I	QN-I	0.48
QN-I	QN-I	0.714
QN-I	QN-I	0.846
QN-I	QN-I	0.708
QN-I	QN-I	0.567
QN-I	QN-I	0.48
QN-I	QN-I	0.569
QN-I	QN-I	0.425
QN-I	QN-I	0.641
QN-I	QN-I	0.772
QN-I	QN-I	0.714
QN-I	QN-I	0.569
QN-I	QN-I	0.679
QN-I	QN-I	0.738
QN-I	QN-I	0.708
QN-I	QN-I	0.846
QN-I	QN-I	0.425
QN-I	QN-I	0.679
QN-I	QN-I	0.754
QN-I	QN-I	0.594
QN-I	QN-I	0.708
QN-I	QN-I	0.641
QN-I	QN-I	0.738
QN-I	QN-I	0.754
