Compound_Id	CpdClass	Smiles
408580	QN-C-S	COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3C[C@]43CC(=O)c4ccccc4O3)c2c1
408614	QN-C-S	COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3C[C@]43CC(=O)c4cc(Br)ccc4O3)c2c1
409679	QN-C-S	COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3C[C@]43CC(=O)c4cc(Cl)ccc4O3)c2c1
408605	QN-C-S	COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3C[C@]43CC(=O)c4cc(F)ccc4O3)c2c1
408610	QN-C-S	COc1ccc2c(c1)O[C@]1(CC2=O)CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12
408643	QN-C-S	COc1cc(OC)c2c(c1)O[C@]1(CC2=O)CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12
408636	QN-C-S	COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3C[C@]43CC(=O)c4ccc(OC)c(OC)c4O3)c2c1
408584	QN-C-S	COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3C[C@]43CC(=O)c4c(O)cccc4O3)c2c1
408586	QN-C-S	COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3C[C@]43CC(=O)c4ccc(O)cc4O3)c2c1
408612	QN-C-S	COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3C[C@]43CC(=O)c4cc(C)ccc4O3)c2c1
408616	QN-C-S	COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3C[C@]43CC(=O)c4c(ccc5ccccc45)O3)c2c1
408634	QN-C-S	COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3C[C@]43CC(=O)c4cc(NC(C)=O)ccc4O3)c2c1
408639	QN-C-S	COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3C[C@]43CC(=O)c4cc(F)cc(F)c4O3)c2c1
408641	QN-C-S	COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3C[C@]43CC(=O)c4cc(C)c(C)cc4O3)c2c1
409699	QN-C-S	COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3C[C@]43CC(=O)c4cc(C)cc(C)c4O3)c2c1
409701	QN-C-S	CCc1ccc2c(c1)C(=O)C[C@]1(CN3CC[C@H]1C[C@H]3[C@H](O)c1ccnc3ccc(OC)cc13)O2
409705	QN-C-S	COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3C[C@]43CC(=O)c4ccc(OCc5ccccc5)cc4O3)c2c1
409674	QN-C-S	COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3C[C@@]43CC(=O)c4cc(C(C)C)ccc4O3)c2c1
408581	QN-C-R	COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3C[C@@]43CC(=O)c4ccccc4O3)c2c1
408615	QN-C-R	COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3C[C@@]43CC(=O)c4cc(Br)ccc4O3)c2c1
408606	QN-C-R	COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3C[C@@]43CC(=O)c4cc(F)ccc4O3)c2c1
408608	QN-C-R	COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3C[C@@]43CC(=O)c4c(OC)cccc4O3)c2c1
408607	QN-C-R	COc1ccc2c(c1)C(=O)C[C@@]1(CN3CC[C@H]1C[C@H]3[C@H](O)c1ccnc3ccc(OC)cc13)O2
408611	QN-C-R	COc1ccc2c(c1)O[C@@]1(CC2=O)CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12
408644	QN-C-R	COc1cc(OC)c2c(c1)O[C@@]1(CC2=O)CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12
408637	QN-C-R	COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3C[C@@]43CC(=O)c4ccc(OC)c(OC)c4O3)c2c1
408585	QN-C-R	COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3C[C@@]43CC(=O)c4c(O)cccc4O3)c2c1
408588	QN-C-R	COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3C[C@]43CC(=O)c4cc(O)ccc4O3)c2c1
408587	QN-C-R	COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3C[C@@]43CC(=O)c4ccc(O)cc4O3)c2c1
408638	QN-C-R	COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3C[C@@]43CC(=O)c4ccc(O)c(C)c4O3)c2c1
408613	QN-C-R	COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3C[C@@]43CC(=O)c4cc(C)ccc4O3)c2c1
408609	QN-C-R	COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3C[C@@]43CC(=O)c4ccc(N5CCCC5)cc4O3)c2c1
408617	QN-C-R	COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3C[C@@]43CC(=O)c4c(ccc5ccccc45)O3)c2c1
408618	QN-C-R	COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3C[C@@]43CC(=O)c4ccc5ccccc5c4O3)c2c1
408635	QN-C-R	COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3C[C@@]43CC(=O)c4cc(NC(C)=O)ccc4O3)c2c1
408640	QN-C-R	COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3C[C@@]43CC(=O)c4cc(F)cc(F)c4O3)c2c1
408642	QN-C-R	COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3C[C@@]43CC(=O)c4cc(C)c(C)cc4O3)c2c1
409698	QN-C-R	COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3C[C@@]43CC(=O)c4ccc(C)cc4O3)c2c1
409700	QN-C-R	COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3C[C@@]43CC(=O)c4cc(C)cc(C)c4O3)c2c1
409702	QN-C-R	CCc1ccc2c(c1)C(=O)C[C@@]1(CN3CC[C@H]1C[C@H]3[C@H](O)c1ccnc3ccc(OC)cc13)O2
409703	QN-C-R	COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3C[C@@]43CC(=O)c4cccc(Cl)c4O3)c2c1
409704	QN-C-R	COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3C[C@@]43CC(=O)c4cc(Cl)c(C)cc4O3)c2c1
409706	QN-C-R	COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3C[C@@]43CC(=O)c4c(cccc4N4CCCC4)O3)c2c1
409707	QN-C-R	COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3C[C@@]43CC(=O)c4cccc(Br)c4O3)c2c1
410427	QN-C-R	COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3C[C@@]43CC(=O)c4cc(Cl)cc(Br)c4O3)c2c1
410428	QN-C-R	COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3C[C@@]43CC(=O)c4cc(Br)c(C)cc4O3)c2c1
408578	QD-C-S	COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CCN3C[C@@]43CC(=O)c4ccccc4O3)c2c1
408619	QD-C-S	COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CCN3C[C@]43CC(=O)c4c(O)cccc4O3)c2c1
408621	QD-C-S	COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CCN3C[C@]43CC(=O)c4cc(O)ccc4O3)c2c1
408622	QD-C-S	COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CCN3C[C@]43CC(=O)c4ccc(O)cc4O3)c2c1
408624	QD-C-S	COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CCN3C[C@]43CC(=O)c4c(OC)cccc4O3)c2c1
408626	QD-C-S	COc1ccc2c(c1)C(=O)C[C@]1(CN3CC[C@H]1C[C@@H]3[C@@H](O)c1ccnc3ccc(OC)cc13)O2
408628	QD-C-S	COc1ccc2c(c1)O[C@]1(CC2=O)CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12
408630	QD-C-S	COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CCN3C[C@]43CC(=O)c4c(ccc5ccccc45)O3)c2c1
408632	QD-C-S	COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CCN3C[C@]43CC(=O)c4ccc5ccccc5c4O3)c2c1
408633	QD-C-S	COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CCN3C[C@]43CC(=O)c4ccc(N5CCCC5)cc4O3)c2c1
410477	QD-C-S	COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CCN3C[C@]43CC(=O)c4ccc(OC)c(OC)c4O3)c2c1
410479	QD-C-S	COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CCN3C[C@]43CC(=O)c4cc(C)c(C)cc4O3)c2c1
410481	QD-C-S	COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CCN3C[C@]43CC(=O)c4cc(Br)ccc4O3)c2c1
410483	QD-C-S	COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CCN3C[C@]43CC(=O)c4cc(C)cc(C)c4O3)c2c1
410485	QD-C-S	COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CCN3C[C@]43CC(=O)c4cc(OC(F)(F)F)ccc4O3)c2c1
410487	QD-C-S	COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CCN3C[C@]43CC(=O)c4ccc(OCc5ccccc5)cc4O3)c2c1
410489	QD-C-S	COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CCN3C[C@]43CC(=O)c4cc(C(C)C)ccc4O3)c2c1
412002	QD-C-S	COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CCN3C[C@]43CC(=O)c4cc(C)ccc4O3)c2c1
412003	QD-C-S	COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CCN3C[C@]43CC(=O)c4cc(F)ccc4O3)c2c1
412004	QD-C-S	COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CCN3C[C@]43CC(=O)c4cc(Cl)ccc4O3)c2c1
412006	QD-C-S	COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CCN3C[C@]43CC(=O)c4cc(NC(C)=O)ccc4O3)c2c1
412007	QD-C-S	COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CCN3C[C@]43CC(=O)c4cc(C(F)(F)F)ccc4O3)c2c1
412008	QD-C-S	CCc1ccc2c(c1)C(=O)C[C@]1(CN3CC[C@H]1C[C@@H]3[C@@H](O)c1ccnc3ccc(OC)cc13)O2
408620	QD-C-R	COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CCN3C[C@@]43CC(=O)c4c(O)cccc4O3)c2c1
408623	QD-C-R	COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CCN3C[C@@]43CC(=O)c4ccc(O)cc4O3)c2c1
408625	QD-C-R	COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CCN3C[C@@]43CC(=O)c4c(OC)cccc4O3)c2c1
408627	QD-C-R	COc1ccc2c(c1)C(=O)C[C@@]1(CN3CC[C@H]1C[C@@H]3[C@@H](O)c1ccnc3ccc(OC)cc13)O2
408629	QD-C-R	COc1ccc2c(c1)O[C@@]1(CC2=O)CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12
408631	QD-C-R	COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CCN3C[C@@]43CC(=O)c4c(ccc5ccccc45)O3)c2c1
410478	QD-C-R	COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CCN3C[C@@]43CC(=O)c4ccc(OC)c(OC)c4O3)c2c1
410480	QD-C-R	COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CCN3C[C@@]43CC(=O)c4cc(C)c(C)cc4O3)c2c1
410482	QD-C-R	COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CCN3C[C@@]43CC(=O)c4cc(Br)ccc4O3)c2c1
410484	QD-C-R	COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CCN3C[C@@]43CC(=O)c4cc(C)cc(C)c4O3)c2c1
410486	QD-C-R	COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CCN3C[C@@]43CC(=O)c4cc(OC(F)(F)F)ccc4O3)c2c1
410488	QD-C-R	COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CCN3C[C@@]43CC(=O)c4ccc(OCc5ccccc5)cc4O3)c2c1
410490	QD-C-R	COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CCN3C[C@@]43CC(=O)c4cc(C(C)C)ccc4O3)c2c1
412005	QD-C-R	COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CCN3C[C@@]43CC(=O)c4cc(Cl)ccc4O3)c2c1
408276	QN-I	COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3c3c4[nH]c4ccccc34)c2c1
408277	QN-I	COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3c3c4[nH]c4ccc(C)cc34)c2c1
408278	QN-I	COc1ccc2nccc([C@@H](O)[C@H]3C[C@@H]4CCN3c3c4[nH]c4ccc(Cl)cc34)c2c1
408279	QN-I	COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3c3c4[nH]c4cc(Cl)ccc34)c2c1
408280	QN-I	COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3c3c4[nH]c4ccc(F)cc34)c2c1
408281	QN-I	COC(=O)c1cccc2[nH]c3c(c12)N1CC[C@H]3C[C@H]1[C@H](O)c1ccnc2ccc(OC)cc12
408285	QN-I	COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3c3c4[nH]c4ccc(C(F)(F)F)cc34)c2c1
408286	QN-I	COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3c3c4[nH]c4ccc([N+](=O)[O-])cc34)c2c1
408290	QN-I	COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3c3c4[nH]c4cc(Br)ccc34)c2c1
408291	QN-I	COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3c3c4[nH]c4ccc(OC)cc34)c2c1
408298	QN-I	COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3c3c4[nH]c4cccc(Cl)c34)c2c1
408299	QN-I	COc1ccc2nccc([C@@H](O)[C@H]3C[C@@H]4CCN3c3c4[nH]c4cccc(C)c34)c2c1
408301	QN-I	COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3c3c4[nH]c4cc(C(F)(F)F)ccc34)c2c1
408302	QN-I	COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3c3c4[nH]c4cc(C)ccc34)c2c1
408306	QN-I	COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3c3c4[nH]c4cc(C(=O)O)ccc34)c2c1
408311	QN-I	COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3c3c4[nH]c4c(OC)cccc34)c2c1
408316	QN-I	COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3c3c4[nH]c4ccc(C(=O)O)cc34)c2c1
408559	QN-I	COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3c3c4[nH]c4ccc(OC(F)(F)F)cc34)c2c1
408802	QN-I	COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3c3c4[nH]c4c(F)cccc34)c2c1
408803	QN-I	COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3c3c4[nH]c4c(Cl)cccc34)c2c1
408910	QN-I	COC(=O)c1cc(OC)c2[nH]c3c(c2c1)N1CC[C@H]3C[C@H]1[C@H](O)c1ccnc2ccc(OC)cc12
409739	QN-I	COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3c3c4[nH]c4cc(C)c(Br)cc34)c2c1
407156	QD-I	COc1ccc2nccc([C@H](O)[C@@H]3C[C@@H]4CCN3c3c4[nH]c4ccccc34)c2c1
407631	QD-I	COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CCN3c3c4[nH]c4ccc(F)cc34)c2c1
407637	QD-I	COc1ccc2nccc([C@H](O)[C@@H]3C[C@@H]4CCN3c3c4[nH]c4cc(Cl)ccc34)c2c1
407638	QD-I	COc1ccc2nccc([C@H](O)[C@@H]3C[C@@H]4CCN3c3c4[nH]c4ccc(C)cc34)c2c1
408287	QD-I	COC(=O)c1ccc2c3c([nH]c2c1)[C@H]1CCN3[C@@H]([C@@H](O)c2ccnc3ccc(OC)cc23)C1
408288	QD-I	COC(=O)c1ccc2[nH]c3c(c2c1)N1CC[C@H]3C[C@@H]1[C@@H](O)c1ccnc2ccc(OC)cc12
408289	QD-I	COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CCN3c3c4[nH]c4ccc(C(=O)O)cc34)c2c1
408293	QD-I	COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CCN3c3c4[nH]c4cc(C(=O)O)ccc34)c2c1
408294	QD-I	COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CCN3c3c4[nH]c4cc(C(F)(F)F)ccc34)c2c1
408295	QD-I	COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CCN3c3c4[nH]c4c(OC)cccc34)c2c1
408297	QD-I	COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CCN3c3c4[nH]c4cc(C)ccc34)c2c1
408304	QD-I	COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CCN3c3c4[nH]c4ccc(Br)cc34)c2c1
408305	QD-I	COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CCN3c3c4[nH]c4ccc(C(F)(F)F)cc34)c2c1
408307	QD-I	COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CCN3c3c4[nH]c4ccc([N+](=O)[O-])cc34)c2c1
408308	QD-I	COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CCN3c3c4[nH]c4cc(Br)ccc34)c2c1
408310	QD-I	COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CCN3c3c4[nH]c4ccc(Cl)cc34)c2c1
